Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d8f4fceee51073b11e7b14c9928f8683d0fb160b9f59d0a974aac8fb3bba5731,2017-05,Essex Police,Essex Police,0.263431,51.706447,On or near MILLFIELD,E01021769,Epping Forest 003A,Investigation complete; no suspect identified
e1b247103e71e7dbd7f5c0050a66932700e98446d4c5be6078461eb5138fdb98,2017-05,Essex Police,Essex Police,0.282330,51.485772,On or near Parking Area,E01016011,Thurrock 015B,Investigation complete; no suspect identified
f07274123c523014134f77936c4bd533470f7cf5406a9b46aa1d00e6efe8c5fb,2017-05,Essex Police,Essex Police,0.080169,51.535432,On or near Parking Area,E01000010,Barking and Dagenham 015C,Investigation complete; no suspect identified
5c5c5907cf50f8d00b759cd557249ef027569982d8f46a20743c4e71236ce22c,2017-05,Essex Police,Essex Police,0.699379,51.836066,On or near Supermarket,E01021402,Braintree 014E,Investigation complete; no suspect identified
c8fb24dde34f6cef395e4d6bca179d589a5ee443b2ddb050122a5815668a966f,2017-05,Essex Police,Essex Police,0.561894,51.544587,On or near HIGH STREET,E01021480,Castle Point 007A,Investigation complete; no suspect identified
ae15234613e3c6ec9e6758d9c7a2f77044080d5a50c501d7b89c7420d453ba71,2017-05,Essex Police,Essex Police,1.024940,51.810852,On or near VICTORIA PLACE,E01021982,Tendring 011D,Investigation complete; no suspect identified
e6434bd34f368ce836358fa1167a7c006964b6b6b8b4c9e10901eea1946ef111,2017-05,Essex Police,Essex Police,0.690205,51.535760,On or near CLIFTON DRIVE,E01015851,Southend-on-Sea 015A,Investigation complete; no suspect identified
7bb5c498da1e0fed8e60435337d10a15a8bc63787d48522b328e1bf88b1da63b,2017-05,Essex Police,Essex Police,1.127779,51.796288,On or near PORTER WAY,E01022031,Tendring 015D,Investigation complete; no suspect identified
35828cb669bae318b3d2b693126d57a2f209c044572ced0c2dec4df0ab623418,2017-05,Essex Police,Essex Police,0.267655,51.508468,On or near M25,E01015928,Thurrock 007B,Investigation complete; no suspect identified
04415c29b8de7d9eb7a63d2b6ffd5b2c21b12fe9c04471af640a167b7b9e2be0,2017-05,Essex Police,Essex Police,0.365425,51.467613,On or near SULLIVAN ROAD,E01016007,Thurrock 018E,Investigation complete; no suspect identified
7fbc6a3c5d1213a8aa1a024ea50c786e845d4df99b28a2d873870abe040546b5,2017-05,Essex Police,Essex Police,0.660170,51.565737,On or near PARK AVENUE,E01015835,Southend-on-Sea 001C,Investigation complete; no suspect identified
18f28c0d58b8417f709772b15117432627d21173fd0f3497159c27bf847261c0,2017-05,Essex Police,Essex Police,0.303360,51.620247,On or near Supermarket,E01021436,Brentwood 007B,Investigation complete; no suspect identified
c2be2e376c7ce82526f4387767af123c6b73b2f496b5ff16893b3d81be0482d4,2017-05,Essex Police,Essex Police,0.897887,51.877181,On or near DAPIFER CLOSE,E01021717,Colchester 013D,Investigation complete; no suspect identified
489de9a44b236d08c104694f1a66bbab809df0db0501f1cb90b72fe4837edfc6,2017-05,Essex Police,Essex Police,0.319334,51.495127,On or near NUTBERRY CLOSE,E01015994,Thurrock 009D,Investigation complete; no suspect identified
52a1fbc268dbac27953effaf0b01b6739614be899d462f284ae58715f084f471,2017-05,Essex Police,Essex Police,0.645607,51.791468,On or near CONSTANCE CLOSE,E01021424,Braintree 018E,Investigation complete; no suspect identified
1064589d9dfbbc3a4ca8c62c9bc9e0a1dd29976d00ed4cd30a5347b02891737d,2017-05,Essex Police,Essex Police,0.712013,51.538486,On or near Nightclub,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
c9fd973a9627cba8a4437788447450925cf2cc6dc14d4b4593e04f7bb2179e7f,2017-05,Essex Police,Essex Police,0.916006,51.914416,On or near GRASSMERE,E01021668,Colchester 002A,Investigation complete; no suspect identified
57d3be5ac84a1b809aca09cd0c543df820491810cf5f2aebd6275f2f253d841c,2017-05,Essex Police,Essex Police,0.284490,51.487772,On or near Shopping Area,E01016011,Thurrock 015B,Investigation complete; no suspect identified
7ed5bec445c5caa85bb552a553ddc4f2c5056b0a585bd4ca653d0b24c1ae078f,2017-05,Essex Police,Essex Police,1.154899,51.801400,On or near COTSWOLD ROAD,E01022042,Tendring 014A,Investigation complete; no suspect identified
402fc7e5296d885fd43e22bd33ad37626a29729d220488155b4fb414bbc97f7b,2017-05,Essex Police,Essex Police,0.194025,51.903828,On or near CRAFTON GREEN,E01022084,Uttlesford 005D,Investigation complete; no suspect identified
ea2b4d0d45f8bae4ddc0ad65e9290e13adec30e4d9f6bc57a250323634b498da,2017-05,Essex Police,Essex Police,0.480491,51.727343,On or near A1114,E01021577,Chelmsford 012B,Investigation complete; no suspect identified
312db12968e8fca4ce537a84b16d7f403ddf19c1629e2fe93863167eeae923de,2017-05,Essex Police,Essex Police,0.937226,51.888598,On or near DUFFIELD DRIVE,E01021696,Colchester 008A,Investigation complete; no suspect identified
7a85211830136cd24734d05304c6401afbededff7bf1aa1cc3205ca73e0f4190,2017-05,Essex Police,Essex Police,0.821933,51.719482,On or near TINNOCKS LANE,E01021901,Maldon 006A,Investigation complete; no suspect identified
7bedfd95e25fa15cfd672ca7a30b02b7eed6a823cbceb6f0fcffef38d7ccf6f7,2017-05,Essex Police,Essex Police,0.632684,51.799412,On or near GUITHAVON ROAD,E01021428,Braintree 015F,Investigation complete; no suspect identified
6ed68b19a6cfaefc3b321ef45f99d0e8b2b21be7c37d206a62ff9a65bb9933a7,2017-05,Essex Police,Essex Police,0.088038,51.768722,On or near WEDHEY,E01021842,Harlow 004D,Investigation complete; no suspect identified
