Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dd27beba90b47f85c4823c6e3ed90ab73f4c725aab60297a7c2bc98d0e7c2197,2019-07,South Wales Police,South Wales Police,-3.407958,51.614064,On or near PORTH STREET,W01001229,Rhondda Cynon Taf 017B,Investigation complete; no suspect identified
64a06b789cd048bf6b771130bbda9e5306b4bdd62658b72180fd2474a51b7d8b,2019-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ba9ff02c72097f592eceb50489876ba2aee6a079320f46637e5e67056bcc71f2,2019-07,South Wales Police,South Wales Police,-3.281938,51.407632,On or near Supermarket,W01001093,The Vale of Glamorgan 013C,Investigation complete; no suspect identified
b6b84eeb95ef56c92830f0db8d48fddda7cc92c57a32815bb11531a24f3a248c,2019-07,South Wales Police,South Wales Police,-3.242523,51.412193,On or near Parking Area,W01001071,The Vale of Glamorgan 009D,Investigation complete; no suspect identified
ed0a022cbd31833d504438d72e15a24878249de7f479fa64b2bcbcdf7ba5be1c,2019-07,South Wales Police,South Wales Police,-3.776612,51.680910,On or near DULAIS CLOSE,W01000887,Neath Port Talbot 005A,Investigation complete; no suspect identified
b954bbfc1b6b39a30b3619a07e45510366f650154d3b289bab964246dda14ebf,2019-07,South Wales Police,South Wales Police,-3.944321,51.614685,On or near PAXTON DRIVE,W01001957,Swansea 025G,Investigation complete; no suspect identified
c3601fce0abd701b85405fe52263d7614dcb09e5d102434a2f8a1cebc381ec1c,2019-07,South Wales Police,South Wales Police,-3.239966,51.496736,On or near WHITLAND CRESCENT,W01001748,Cardiff 027B,Investigation complete; no suspect identified
dfadbb6a1d3c64ceee562c51169bb28d63929e8b6aba75ea437239665f56daed,2019-07,South Wales Police,South Wales Police,-3.194809,51.520592,On or near Supermarket,W01001771,Cardiff 018C,Investigation complete; no suspect identified
3c7c1d5e8f261c2d42c79ed1e3aeb24902436f65fc915913d907e0d208717bdc,2019-07,South Wales Police,South Wales Police,-3.147492,51.473075,On or near GLASS AVENUE,W01001874,Cardiff 038D,Investigation complete; no suspect identified
e154854a3fa18a4f642a283ec97fcfd91a814bffe62e19a87502eea77e715c5c,2019-07,South Wales Police,South Wales Police,-3.364459,51.761386,On or near ALFRED STREET,W01001311,Merthyr Tydfil 002F,Investigation complete; no suspect identified
029984567714f2168ce11cb16d28bb5713d56234dae4c5ecb7c66301e00f9b3c,2019-07,South Wales Police,South Wales Police,-3.229767,51.505817,On or near BELLE VUE CRESCENT,W01001789,Cardiff 023E,Investigation complete; no suspect identified
e2f44c3b2d96c84f95aa8a03b0d60a85bde40dc9bbd3721924cae949d225e897,2019-07,South Wales Police,South Wales Police,-3.200195,51.479858,On or near PHILIP STREET,W01001857,Cardiff 042C,Investigation complete; no suspect identified
e35679e46fbe6721106580825e250e4768dced8d54c774a3d2c7651b9ca5f83f,2019-07,South Wales Police,South Wales Police,-3.294161,51.572959,On or near TAFFS MEAD ROAD,W01001244,Rhondda Cynon Taf 025B,Investigation complete; no suspect identified
2ff4359f2fc1853eebe74c11d6d1ca3a50f797f0931211ab0e334bb5abebace3,2019-07,South Wales Police,South Wales Police,-3.341982,51.599883,On or near Parking Area,W01001182,Rhondda Cynon Taf 021A,Investigation complete; no suspect identified
e8a23417653f2dbd1eb994a02a5c987bebf7abd05692f6cd16689a2c3f367a6d,2019-07,South Wales Police,South Wales Police,-3.186646,51.476615,On or near TUDOR STREET,W01001856,Cardiff 042B,Investigation complete; no suspect identified
