Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
957ea44bb339ccde48af34191389f8f31d2a6354be107a715b19ed114bb08d72,2017-02,Essex Police,Essex Police,0.278597,51.508552,On or near DALROY CLOSE,E01015972,Thurrock 006C,Investigation complete; no suspect identified
7f6474a12c9b397c835118ec521950bee6c3b9b89884541aafdb2820b6656cac,2017-02,Essex Police,Essex Police,0.319222,51.481001,On or near Petrol Station,E01015956,Thurrock 016B,Investigation complete; no suspect identified
5c0a9513f2d686780f5cc47886320f8e085a20c386fb5a65695806698f5ac586,2017-02,Essex Police,Essex Police,0.468394,51.576944,On or near FALKENHAM END,E01021268,Basildon 015B,Investigation complete; no suspect identified
a7e626ba33744e320e42d6b927b67f4b708d6f997acd6e1a5fda59280932acab,2017-02,Essex Police,Essex Police,0.472891,51.740669,On or near B1008,E01021574,Chelmsford 010A,Investigation complete; no suspect identified
90ee0cf3a2a0c75586677a604b606e13ad26307f6013a1323d9e072b1beb9989,2017-02,Essex Police,Essex Police,0.036681,51.629386,On or near GLADSTONE ROAD,E01021746,Epping Forest 015E,Investigation complete; no suspect identified
46d6dee5e9d8c0052c5e3df88b34485b9f056a4100066d78bbfb16a093ab19db,2017-02,Essex Police,Essex Police,0.534915,51.780166,On or near Parking Area,E01021537,Chelmsford 005B,Investigation complete; no suspect identified
c62d74a5b341a20b3396c28d7118cf91b7dd224fc67c223e9dcb12a77c306bcd,2017-02,Essex Police,Essex Police,0.568364,51.883985,On or near CONNAUGHT GARDENS,E01021353,Braintree 009B,Investigation complete; no suspect identified
a8f149bd836f00972ee06df48a63625f842431ffdba8a51bf762aa4b0b34608f,2017-02,Essex Police,Essex Police,0.281698,51.489840,On or near Parking Area,E01016011,Thurrock 015B,Investigation complete; no suspect identified
62916d7bf8b8e4ba8383b3e9f6371c61fb4d83f86614f0e4900b73e4c7bc069f,2017-02,Essex Police,Essex Police,0.281698,51.489840,On or near Parking Area,E01016011,Thurrock 015B,Investigation complete; no suspect identified
41156fb3e9a870811176fcc3d8e9b8236baadb6d71a20baa2bccd4e902aff771,2017-02,Essex Police,Essex Police,0.338873,51.646137,On or near Park/Open Space,E01021467,Brentwood 005F,Investigation complete; no suspect identified
