Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9c0833c669d2144d10693ca55e531886c442d3aa6bbf283c5678b599a7f7ca3e,2017-02,Cleveland Police,Cleveland Police,-1.225371,54.653421,On or near TRURO DRIVE,E01011990,Hartlepool 010D,Offender given a drugs possession warning
b56e2aa5aa4cb358a906cc40a0c4623f938de3b6adabee8537d194acb96b7fb5,2017-02,Cleveland Police,Cleveland Police,-1.320541,54.538761,On or near QUEEN ELIZABETH WAY,E01012264,Stockton-on-Tees 014C,Offender given a drugs possession warning
56bcbea47d56d17ddb62b3b4d6278b4b32b4a794ea6d4296fb83831aa0577036,2017-02,Cleveland Police,Cleveland Police,-1.245487,54.563921,On or near AYRESOME PARK ROAD,E01012056,Middlesbrough 009D,Offender given a drugs possession warning
5a520822b1b9d5fed165aea7fbc7991c72a31f22623c00235ed56b4b8b7959a5,2017-02,Cleveland Police,Cleveland Police,-1.214369,54.551941,On or near The James Cook University Hospital,E01012018,Middlesbrough 011A,Offender given a drugs possession warning
bdc090f5fea04d2aea7d9b9c8a70b3c0c22c2e552bf16a95978c213087db9505,2017-02,Cleveland Police,Cleveland Police,-1.316925,54.556302,On or near TIMOTHY COURT,E01012262,Stockton-on-Tees 014A,Offender given a drugs possession warning
3e1b287fd315b39ebc8e9ac7d1be48fa36ff60d10a2a4d4ee29304bbc0c38208,2017-02,Cleveland Police,Cleveland Police,-0.964882,54.539387,On or near WILSON STREET,E01012132,Redcar and Cleveland 016A,Offender given a drugs possession warning
c8599b0648ace754b99fa726380238aba6e0bb24a435377029406f055d03093f,2017-02,Cleveland Police,Cleveland Police,-1.221932,54.566414,On or near BLENHEIM ROAD SOUTH,E01012094,Middlesbrough 001F,Offender given a drugs possession warning
1a15fcdf2016f19d3d6595f67c457ba4b87e681822bf0e5241b0b8183167a538,2017-02,Cleveland Police,Cleveland Police,-1.296644,54.544314,On or near THAMES AVENUE,E01012292,Stockton-on-Tees 019C,Offender given a drugs possession warning
03bb7589a000ce7c268e96a53d3e9d3216238a644ca87d63a4df6f94f35f0cd6,2017-02,Cleveland Police,Cleveland Police,-1.216896,54.578200,On or near Riverside Stadium,E01033468,Middlesbrough 001G,Offender given penalty notice
c9d19dd2b082fd10032029a90201dbf0a4efc65bca38bb21030dae88c97b2c03,2017-02,Cleveland Police,Cleveland Police,-1.061847,54.617908,On or near KING STREET,E01012102,Redcar and Cleveland 001C,Offender given penalty notice
403e82bcd8d10b0c7f3ea22868d878bbad94489bc66b1b6b9e68c9805ea53e96,2017-02,Cleveland Police,Cleveland Police,-1.237501,54.577495,On or near Shopping Area,E01033468,Middlesbrough 001G,Offender given penalty notice
745996bbba6df3f4b52bef2b1a8f0285ecfded624d93de2ed3e0becaa3c77618,2017-02,Cleveland Police,Cleveland Police,-1.236569,54.575234,On or near Parking Area,E01012068,Middlesbrough 001A,Offender given penalty notice
