Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
df90c069434d89442328fa0b9d0000cbe59e3a6fe4a47254d37ce988375aa44b,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.316781,52.092640,On or near THE THOROUGHFARE,E01030211,Suffolk Coastal 008D,Investigation complete; no suspect identified
be10ebcfd6408b62fda7f317f9722c91db785c468d3b159cb8aa9acda0d1fbf9,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.728582,52.041166,On or near PRINCE STREET,E01029920,Babergh 007H,Investigation complete; no suspect identified
fd80badff3c0a832cd51391588cedf0b21184976c36e893d9b59a6dd0d8c3431,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.180195,52.226729,On or near CHANCERY LANE,E01030048,Mid Suffolk 007A,Investigation complete; no suspect identified
cafe958c021b5668a74d22ff5f2ee3b5eb22a1202f6da09ebd9ced3986d0d7df,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.136284,52.039538,On or near WALTHAM CLOSE,E01030019,Ipswich 015C,Investigation complete; no suspect identified
28392b3e1d219d444080e7efbb59140a408db736f139a628b2d40a36a5cd8e9a,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.112915,52.077006,On or near FODEN AVENUE,E01030031,Ipswich 003E,Investigation complete; no suspect identified
d58f72666aca697b9b964ff72d477fc5d363249021937b373488f07b0ae45be8,2017-01,Suffolk Constabulary,Suffolk Constabulary,0.442511,52.080548,On or near DUDDERY ROAD,E01030105,St Edmundsbury 014A,Investigation complete; no suspect identified
628914bac69d59d577ce9c36edf1b4760fe80eaa2f2b2834cb2a6101a4ec25e3,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.135220,52.082432,On or near MACAULAY ROAD,E01030036,Ipswich 001E,Investigation complete; no suspect identified
6e3d96de7d166e695872a8380b0b3ce27d1583a51a5090097e9c9a5aa45cc2d8,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.283631,52.075905,On or near VALLEY VIEW RISE,E01030190,Suffolk Coastal 010C,Investigation complete; no suspect identified
2e7675ca9eb1a140da89579f248567709dd79fed62db68bf02932d654503abce,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.129378,52.080312,On or near BURNS ROAD,E01030032,Ipswich 001A,Investigation complete; no suspect identified
f719eb5871af5fd079b2f878d4f2526b48e11288b670c72fb1703b9d4b57b175,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.743944,52.465372,On or near KIRKLEY CLIFF,E01030256,Waveney 007C,Investigation complete; no suspect identified
3f644c959c818915b73ac68b1fc0b3237e2ce60313a90e434e6fe251e79a12d3,2017-01,Suffolk Constabulary,Suffolk Constabulary,1.121266,52.063223,On or near Supermarket,E01030027,Ipswich 003A,Investigation complete; no suspect identified
