Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7ea0b2e3e26d4c54bb2c611335cbdfd2f6ec8953e6ee3160b1a913fdbb28aa67,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.494369,52.305794,On or near SANFOIN CLOSE,E01033452,Forest Heath 005E,Investigation complete; no suspect identified
9fbba63c7935cc70fa6dc21b174c4642acf5a83acc398fded6db45f836c05458,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.277346,52.066033,On or near Petrol Station,E01030190,Suffolk Coastal 010C,Investigation complete; no suspect identified
e87309e305afd57efdd8f30d070337a219cd13cd9194492d8459c3bcee51a153,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.383119,52.267078,On or near THE HIGHLANDS,E01029937,Forest Heath 006A,Investigation complete; no suspect identified
850cbe0b72d53c61c746cedf38ce7983fecc211c12c096b54842bd7ac026f42d,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.383119,52.267078,On or near THE HIGHLANDS,E01029937,Forest Heath 006A,Investigation complete; no suspect identified
55b346a38c6604152b27d49a801b91913daa0a672369f7a79e281c3575963783,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.437369,52.078865,On or near DUDDERY HILL,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
916c392b297ccdf9a399e5baab2c02d61cda68a19a75dee2af7df6c8d236a0d4,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.788751,52.031977,On or near Parking Area,E01029880,Babergh 006A,Investigation complete; no suspect identified
430dbe42a97b04f0be925c8549895540b02f042839aa9a1580fe12d54e16f28c,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.016765,52.186325,On or near WREN CLOSE,E01033319,Mid Suffolk 010H,Investigation complete; no suspect identified
4342a0c5f823d9bdd90644bee9e051766a4eac70c09edf5c7d8dd42f48dd51d2,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.646189,52.393790,On or near Park/Open Space,E01029928,Forest Heath 001C,Investigation complete; no suspect identified
489372af394f5891f3449cbcfb7c63b4c7c3e44412ed8360c5729a2809c1c8b0,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.329483,51.970625,On or near KILN FIELD,E01030169,Suffolk Coastal 014D,Investigation complete; no suspect identified
b7101997985a9961cd35f2516428fb82deb2f35db1170f0cc6c305b016618ed5,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.412713,52.131553,On or near TIDY ROAD,E01033449,Suffolk Coastal 007J,Investigation complete; no suspect identified
9573f1e75af557b437fe9f91097abb297f00e5169eaded56d64ac6891e071145,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.202903,51.990553,On or near MILL LANE,E01029873,Babergh 011B,Investigation complete; no suspect identified
1b4035b6240e7c594b04cf66a5b49f3966b05efcaf772ac519f41da28ca55978,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.136457,52.058034,On or near LONDON ROAD,E01029988,Ipswich 010E,Investigation complete; no suspect identified
6b3a7a31b24a42d9e6b6ccc067d047f3597cb818ea7dd0a53f87d8ce9f30c8fc,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.597665,52.244980,On or near STONEY LANE,E01030098,St Edmundsbury 008A,Investigation complete; no suspect identified
373b63946093e968d60ec1fd5265b7a261355c8fd088b74f04969ec32060e718,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.202903,51.990553,On or near MILL LANE,E01029873,Babergh 011B,Investigation complete; no suspect identified
9a77f67e519406d26a5713ae78679f2206b9a36b3ef91b19276f4b074638304a,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.997765,52.190119,On or near STOWUPLAND STREET,E01033317,Mid Suffolk 010G,Investigation complete; no suspect identified
f545fae2c949c223270d2e1264b58ee8e57051e5fc90bb2cbec1faab559bdbd1,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.202903,51.990553,On or near MILL LANE,E01029873,Babergh 011B,Investigation complete; no suspect identified
88b7c0a756cdb545528eef03a79d688d213e6caded7d88c07537716854fef0a0,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.202903,51.990553,On or near MILL LANE,E01029873,Babergh 011B,Investigation complete; no suspect identified
27c5d3d8d72f8fecee4b8025c88a32c1ab73cf8b6bc97166a01c221b62cd6282,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.204934,51.991046,On or near WOODLANDS,E01029873,Babergh 011B,Investigation complete; no suspect identified
8d9c590a28353f93a198eb8d8f65ef8ce2e358956484ca18eded99e6e084a041,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.133795,52.056477,On or near Shopping Area,E01029985,Ipswich 010B,Investigation complete; no suspect identified
c2cd75ab0e4d5a1a6b602a522f757141c5e771b0b5b276329e74a24c16f50a9d,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.204934,51.991046,On or near WOODLANDS,E01029873,Babergh 011B,Investigation complete; no suspect identified
ed21ae40c579d44b2bc047fff126494dac1c3395a2848ff80dafd532e9083187,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.204934,51.991046,On or near WOODLANDS,E01029873,Babergh 011B,Investigation complete; no suspect identified
28a5d5e87b23e23a5381d192cea7a31753ee88a98678be0adeb8470d122ff52e,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.265336,51.961827,On or near CHILDERS CLOSE,E01029874,Babergh 011C,Investigation complete; no suspect identified
e3715c848cc599f5423545ed0dfc2731af61ff7cfe008d1744e79d0192abe52d,2016-12,Suffolk Constabulary,Suffolk Constabulary,0.498875,52.305582,On or near SORREL COURT,E01033451,Forest Heath 005D,Investigation complete; no suspect identified
30ef11e8d3ff7186a0c0389ee2514667b113e09944a5d216a09e168fd1e21c87,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.151592,52.056443,On or near COYTES GARDENS,E01033125,Ipswich 007G,Investigation complete; no suspect identified
c9a19717e30e19536f8ed04d2210972b58fa3f85fd6132ab2f5fad3904cfb46a,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.119173,52.068575,On or near BRAMFORD ROAD,E01030030,Ipswich 003D,Investigation complete; no suspect identified
c5ec7bec56341da43cd72540b7dc92af3980bab05cf0d1a0f5b47739bb1ff0bf,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.139913,52.324472,On or near GAYE CRESCENT,E01030052,Mid Suffolk 001A,Investigation complete; no suspect identified
db6efcc1aff76be44fa870acdd06853063a6e16931c18c5c5dc8aee0fa5643b2,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.123949,52.043554,On or near TERN ROAD,E01030012,Ipswich 013A,Investigation complete; no suspect identified
7d0a9826288afff3207371d83093a51124980bdc11f724119d2cd2c7d489018f,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.155500,52.049170,On or near Supermarket,E01033122,Ipswich 012F,Investigation complete; no suspect identified
68b027bfa2920e0f23a95e0c36e4d9ba682cb90b16ee21697e77dfd203aa80d9,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.207065,52.048325,On or near WIMBORNE AVENUE,E01029967,Ipswich 009E,Investigation complete; no suspect identified
8992ef5920e1b0d6539fe091c335d5eaf5a477bdaa5bd1c8647bd8dc1c72bfa9,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.164253,52.056193,On or near DOVE STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
d4487aa03fabcf1e015750246e2da1f5541db5c68c38fb440b464611074dfca0,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.117283,52.066791,On or near TITAN COURT,E01030030,Ipswich 003D,Investigation complete; no suspect identified
22f09b4db0b416932a10d119efb4f6e0d4f37f2d646e99618643b92fcaa367a0,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.735803,52.465414,On or near NEWARK ROAD,E01030257,Waveney 008A,Investigation complete; no suspect identified
04c33441179a46e29780d7a88b1356a2f57e2139f8ae51fe5e653177a83207bf,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.014626,52.185201,On or near LINNET DRIVE,E01033319,Mid Suffolk 010H,Investigation complete; no suspect identified
fdb0f68c202e11874782dd877291efb839fa5214952616fbaa8fd9150315d2b8,2016-12,Suffolk Constabulary,Suffolk Constabulary,1.749199,52.472266,On or near PIER TERRACE,E01030258,Waveney 007D,Investigation complete; no suspect identified
