Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
110191e46f6c1691044f149f90f80f83d27ba587a798e18d9c998996089e263e,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.731380,52.242418,On or near OSWYN CLOSE,E01030129,St Edmundsbury 005D,Investigation complete; no suspect identified
7891542960c56fd074baa846a7ae7722232dd43305048f3904be9c29771516e9,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.131450,52.046943,On or near JASMINE CLOSE,E01029986,Ipswich 010C,Investigation complete; no suspect identified
163a13e2a9f02be61590fe507a48b0c41bef379fca0567e38390500eb810e184,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.201310,52.044354,On or near BLANDFORD ROAD,E01029967,Ipswich 009E,Investigation complete; no suspect identified
9b5432ac0bba649fdf3b0263ec12303a24c7ee0a9ccf7b990a99af3d38d52862,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.158138,52.057617,On or near Shopping Area,E01033129,Ipswich 007H,Investigation complete; no suspect identified
dfe8d021aa01b6a1a6b323256167315674e15216e71df978058299bf9c0590b1,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.090470,52.199867,On or near LAMBETH WAY,E01030083,Mid Suffolk 007C,Investigation complete; no suspect identified
4f1a4b6d7e1630cd9cb0851b50339bf7de4e1d984c2efe113b5a65d4042360f8,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.159701,52.056190,On or near UPPER ORWELL STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
c7ae80ec7053606b24f7992027a113177baa8797d9e72d4bb01c111c5d059b22,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.715003,52.250584,On or near PETCH CLOSE,E01033046,St Edmundsbury 006F,Investigation complete; no suspect identified
4c32b0642064fd668ff4b6a5b508705435a4466648a87d32220da2ab857d1e7f,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.117283,52.066791,On or near TITAN COURT,E01030030,Ipswich 003D,Investigation complete; no suspect identified
cad55b84f67a7e8afb438d874db0e85c8322bbccf2d09303ff33a4724d04f832,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.156285,52.057621,On or near NORTHGATE STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
bfae4668d11786d8db444bae759a7b884efd1adc5297ccc55310b3c3741bae8b,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.120295,52.035071,On or near SWALLOWTAIL CLOSE,E01029908,Babergh 005D,Investigation complete; no suspect identified
2797f204f0c71650cca7327ba32729d61f01cd1dbb31dc060e289973a88e765d,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.118152,52.074448,On or near Supermarket,E01030029,Ipswich 003C,Investigation complete; no suspect identified
f3586ab3bf3bd2f8d2d49a8d497dc07766a3e2c5808b941e1e35c012f67faf01,2017-04,Suffolk Constabulary,Suffolk Constabulary,0.969991,52.020521,On or near UPPER STREET,E01029902,Babergh 009C,Investigation complete; no suspect identified
6f487968f29e624aaac4b046d0ee1b0eaa808cb31ae045df29b439f80621dded,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.191845,52.072177,On or near AYR ROAD,E01029998,Ipswich 004B,Investigation complete; no suspect identified
35e8830e53a533c40cf0651157bab385ba95ba1368cc970478d4ceb52c2f27a6,2017-04,Suffolk Constabulary,Suffolk Constabulary,1.118152,52.074448,On or near Supermarket,E01030029,Ipswich 003C,Investigation complete; no suspect identified
